Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,PatternType,Recommendation
Sexy,Low,46.0,M,Summer,o-neck,sleevless,empire,NA,chiffon,ruffles,animal,1
Casual,Low,0.0,L,Summer,o-neck,Petal,natural,microfiber,NA,ruffles,animal,0
vintage,High,0.0,L,Automn,o-neck,full,natural,polyster,NA,NA,print,0
Brief,Average,46.0,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,1
cute,Low,45.0,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
bohemian,Low,0.0,M,Summer,v-neck,sleevless,empire,NA,NA,NA,print,0
Casual,Average,0.0,XL,Summer,o-neck,full,NA,cotton,NA,NA,solid,0
Novelty,Average,0.0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,NA,0
Flare,Average,0.0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
bohemian,Low,0.0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,NA,NA,1
party,Average,5.0,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
sexy,Low,47.0,M,Winter,o-neck,threequarter,NA,NA,chiffon,lace,print,1
vintage,Average,48.0,M,Summer,o-neck,short,empire,cotton,jersey,NA,animal,1
Casual,Low,5.0,M,Summer,boat-neck,short,NA,cotton,NA,sashes,solid,0
Casual,Low,0.0,free,Winter,boat-neck,full,NA,other,other,lace,NA,0
cute,Average,47.0,L,spring,o-neck,short,NA,cotton,NA,sashes,solid,1
bohemian,Medium,5.0,free,Automn,o-neck,full,natural,NA,NA,hollowout,patchwork,1
Brief,Average,0.0,M,Winter,peterpan-collor,threequarter,natural,cotton,NA,NA,patchwork,0
Sexy,Average,45.0,L,Automn,o-neck,full,NA,cotton,NA,beading,solid,0
Casual,Low,43.0,M,Summer,o-neck,sleevless,natural,NA,chiffon,NA,solid,0
Brief,Low,4.0,XL,Summer,v-neck,short,natural,cotton,NA,pockets,solid,0
Sexy,Average,47.0,S,Summer,v-neck,sleevless,empire,cotton,NA,sequined,solid,1
Sexy,Average,0.0,free,Automn,v-neck,sleevless,natural,polyster,NA,lace,patchwork,0
Sexy,Average,0.0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,NA,print,0
Sexy,Average,47.0,M,Spring,o-neck,sleevless,natural,NA,NA,NA,solid,1
Casual,Low,0.0,L,Summer,o-neck,sleevless,natural,cotton,jersey,NA,print,0
cute,Low,43.0,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,0
cute,Low,47.0,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
Casual,Low,0.0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,1
Casual,Average,44.0,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,0
Brief,Average,43.0,L,Spring,o-neck,sleevless,empire,NA,NA,bow,solid,1
Casual,Low,46.0,free,Winter,boat-neck,full,natural,cotton,NA,NA,patchwork,1
vintage,Average,46.0,free,Winter,o-neck,full,natural,NA,chiffon,NA,print,1
party,Average,46.0,M,Winter,o-neck,sleevless,natural,cotton,NA,lace,solid,1
Casual,Average,45.0,M,Spring,v-neck,short,empire,cotton,NA,button,solid,1
Brief,Average,5.0,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1
Brief,Low,44.0,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,0
Casual,Low,48.0,free,Spring,o-neck,sleevless,natural,cotton,NA,NA,print,0
Sexy,Average,0.0,M,Winter,o-neck,short,natural,NA,NA,lace,solid,0
Sexy,Average,48.0,L,Spring,v-neck,threequarter,empire,polyster,NA,lace,geometric,0
Casual,Average,0.0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,1
Casual,Low,47.0,M,Summer,o-neck,sleevless,empire,milksilk,NA,NA,solid,0
Casual,Medium,0.0,L,Winter,boat-neck,full,empire,NA,NA,NA,solid,1
Sexy,Low,5.0,free,Summer,v-neck,sleevless,empire,NA,chiffon,NA,animal,1
Casual,Low,43.0,free,Summer,o-neck,sleevless,NA,milksilk,NA,NA,animal,0
Casual,Average,0.0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,1
Casual,Average,46.0,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
sexy,Average,45.0,M,Spring,o-neck,threequarter,natural,polyster,NA,lace,geometric,0
Novelty,Average,0.0,S,Winter,turndowncollor,full,natural,cotton,NA,NA,patchwork,0
Casual,Average,49.0,S,Winter,turndowncollor,full,natural,cotton,NA,NA,solid,1
sexy,Low,46.0,L,Automn,o-neck,sleevless,natural,NA,NA,lace,solid,1
bohemian,Low,45.0,M,Summer,v-neck,sleevless,natural,polyster,NA,NA,print,1
work,Average,0.0,M,Automn,slash-neck,sleevless,natural,polyster,NA,bow,patchwork,0
cute,High,0.0,M,Spring,v-neck,full,natural,rayon,NA,NA,solid,1
Casual,Average,0.0,free,Spring,o-neck,short,natural,cotton,NA,hollowout,plaid,0
Casual,Average,5.0,M,Summer,o-neck,short,empire,polyster,chiffon,NA,animal,0
Casual,Average,47.0,M,spring,o-neck,sleevless,natural,NA,chiffon,sashes,solid,0
Sexy,Low,4.0,S,Automn,o-neck,sleevless,empire,cotton,NA,NA,solid,1
Casual,Low,0.0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,0
Casual,Medium,45.0,S,Winter,o-neck,full,natural,polyster,NA,NA,patchwork,1
work,Average,48.0,L,Summer,v-neck,short,natural,polyster,NA,hollowout,solid,0
Casual,Medium,0.0,M,Automn,v-neck,short,empire,polyster,NA,NA,solid,0
bohemian,Average,5.0,free,Summer,v-neck,sleevless,natural,cotton,batik,NA,print,1
sexy,Low,0.0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,1
Sexy,Average,42.0,M,Winter,v-neck,sleevless,natural,cotton,flannael,NA,solid,0
Casual,Low,48.0,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,0
Casual,Low,44.0,S,Automn,o-neck,sleevless,natural,polyster,NA,NA,solid,0
Casual,Low,47.0,L,Spring,o-neck,short,NA,chiffonfabric,chiffon,bow,dot,0
Casual,Average,5.0,XL,Winter,boat-neck,full,NA,cotton,NA,NA,geometric,1
Casual,Low,0.0,free,Spring,v-neck,sleevless,NA,cotton,NA,NA,print,0
Casual,Average,0.0,free,Spring,o-neck,sleevless,natural,NA,chiffon,NA,solid,0
bohemian,very-high,47.0,free,Winter,v-neck,sleevless,NA,polyster,NA,NA,NA,1
Casual,Low,5.0,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,0
party,Average,47.0,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,0
Sexy,Low,5.0,free,Spring,o-neck,full,natural,cotton,worsted,NA,striped,0
vintage,Low,46.0,M,Summer,o-neck,short,natural,NA,chiffon,NA,print,0
Casual,Average,0.0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,0
Casual,low,49.0,L,Summer,boat-neck,short,NA,NA,chiffon,NA,patchwork,1
Casual,Low,0.0,S,Automn,o-neck,full,natural,NA,NA,beading,solid,1
Sexy,Average,4.0,S,Automn,v-neck,sleevless,NA,rayon,chiffon,NA,patchwork,1
Sexy,Low,5.0,M,Automn,o-neck,full,natural,NA,chiffon,lace,print,1
Brief,Average,46.0,M,Winter,peterpan-collor,threequarter,NA,cotton,NA,NA,solid,0
Casual,Average,0.0,L,Spring,boat-neck,sleevless,natural,cotton,NA,applique,patchwork,1
Casual,Average,48.0,L,Winter,o-neck,short,natural,cotton,NA,pockets,solid,1
OL,Medium,0.0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,NA,sashes,solid,0
Sexy,Low,48.0,M,Spring,o-neck,halfsleeve,natural,silk,NA,NA,solid,0
Casual,Medium,0.0,S,Spring,v-neck,full,NA,NA,NA,NA,animal,1
Casual,Medium,0.0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,1
Casual,Average,0.0,M,Spring,o-neck,sleevless,natural,silk,NA,NA,print,0
Casual,Average,0.0,free,Winter,v-neck,full,natural,NA,chiffon,ruffles,print,0
vintage,Low,48.0,S,Summer,o-neck,short,natural,NA,chiffon,ruffles,print,0
fashion,Average,4.0,free,Summer,open,full,NA,cotton,NA,sequined,solid,0
Casual,Average,47.0,L,Summer,v-neck,short,natural,NA,NA,NA,print,1
Casual,Low,0.0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,NA,patchwork,1
bohemian,Low,48.0,free,Summer,o-neck,short,NA,NA,NA,NA,animal,1
work,Medium,46.0,L,Winter,sqare-collor,short,empire,cotton,NA,Tiered,solid,0
vintage,Average,47.0,L,Summer,o-neck,short,natural,cotton,NA,button,solid,0
cute,Low,47.0,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,1
Casual,Low,46.0,free,Automn,o-neck,full,natural,cotton,NA,NA,solid,1
Casual,Medium,0.0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
Casual,Average,47.0,L,Automn,o-neck,halfsleeve,NA,NA,NA,lace,NA,0
Casual,Low,47.0,free,Winter,o-neck,sleevless,natural,cotton,jersey,NA,solid,1
Casual,Average,0.0,M,Automn,o-neck,short,empire,polyster,NA,applique,print,0
cute,Average,48.0,L,Automn,slash-neck,sleevless,natural,NA,chiffon,hollowout,solid,0
party,Average,5.0,M,Spring,o-neck,halfsleeve,natural,NA,NA,NA,NA,1
cute,Average,43.0,L,Winter,o-neck,sleevless,natural,NA,chiffon,NA,solid,0
Casual,Average,45.0,L,Spring,o-neck,short,natural,cotton,chiffon,NA,patchwork,0
Casual,Low,47.0,L,Automn,o-neck,full,NA,cotton,chiffon,lace,print,0
Casual,Low,45.0,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,0
sexy,Average,36.0,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,1
work,Average,48.0,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,0
vintage,Average,0.0,free,Summer,o-neck,sleevless,NA,NA,NA,NA,NA,0
Sexy,Low,46.0,free,Spring,o-neck,full,natural,NA,NA,lace,leopard,1
Sexy,Low,0.0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,NA,solid,1
Casual,Average,44.0,M,Summer,o-neck,short,empire,NA,NA,lace,patchwork,0
cute,Low,49.0,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0
Sexy,Low,46.0,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,0
Casual,Average,0.0,free,Spring,o-neck,short,NA,cotton,NA,lace,NA,1
Casual,Low,0.0,M,Summer,v-neck,full,natural,acrylic,NA,lace,solid,0
Sexy,Average,46.0,M,Winter,o-neck,full,natural,polyster,NA,NA,patchwork,1
work,Average,46.0,M,Spring,v-neck,full,NA,NA,chiffon,NA,NA,0
cute,High,0.0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,0
Casual,Average,0.0,XL,Winter,o-neck,short,empire,polyster,NA,button,solid,0
Novelty,Average,49.0,L,Automn,o-neck,short,natural,polyster,chiffon,NA,print,1
Casual,Low,47.0,M,Automn,o-neck,full,NA,cotton,NA,NA,solid,0
cute,Average,43.0,free,Summer,boat-neck,sleevless,NA,NA,NA,NA,NA,1
cute,Low,47.0,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,0
Sexy,low,45.0,L,Spring,o-neck,sleevless,NA,NA,NA,lace,solid,0
Casual,Average,47.0,M,Automn,o-neck,sleevless,NA,cotton,NA,NA,animal,1
cute,low,47.0,free,Summer,o-neck,sleevless,NA,NA,chiffon,NA,print,1
Casual,low,44.0,free,Summer,turndowncollor,sleevless,natural,cotton,NA,NA,solid,0
Casual,Average,48.0,L,winter,v-neck,short,empire,polyster,NA,ruffles,solid,0
vintage,Average,43.0,free,winter,o-neck,short,NA,chiffonfabric,chiffon,NA,print,0
cute,low,45.0,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,1
Casual,Average,44.0,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,NA,solid,0
vintage,High,0.0,L,Summer,o-neck,short,natural,cotton,NA,NA,print,0
Casual,low,0.0,free,Spring,v-neck,threequarter,NA,silk,NA,lace,NA,1
Casual,Low,0.0,free,Spring,o-neck,short,natural,NA,NA,hollowout,solid,0
cute,Medium,5.0,free,Winter,o-neck,sleevless,natural,silk,NA,lace,solid,1
Casual,Low,47.0,free,Summer,o-neck,sleevless,NA,NA,NA,NA,print,0
Sexy,Low,48.0,free,Spring,v-neck,sleevless,NA,NA,NA,sequined,solid,1
Casual,Average,45.0,L,Winter,o-neck,short,natural,cotton,NA,bow,patchwork,0
vintage,Average,0.0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,0
Casual,Average,37.0,free,Automn,boat-neck,full,NA,NA,NA,NA,solid,1
vintage,Average,48.0,L,Winter,o-neck,sleevless,natural,cotton,NA,NA,patchwork,0
cute,Average,0.0,XL,Spring,boat-neck,full,NA,cotton,worsted,applique,dot,1
Casual,Average,0.0,L,Winter,open,short,natural,mix,poplin,applique,solid,1
sexy,Medium,5.0,M,Winter,o-neck,sleevless,empire,polyster,NA,bow,solid,0
Brief,Average,49.0,free,Summer,slash-neck,sleevless,natural,NA,NA,NA,solid,0
Casual,High,49.0,S,Spring,o-neck,threequarter,natural,NA,NA,NA,dot,1
Brief,Average,46.0,free,Winter,o-neck,full,natural,mix,NA,sashes,solid,0
Casual,Low,45.0,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,0
Casual,Low,48.0,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,0
Sexy,Medium,46.0,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,0
Casual,Average,45.0,M,Winter,v-neck,sleevless,natural,NA,chiffon,button,striped,0
work,Average,0.0,S,Automn,o-neck,sleevless,natural,linen,NA,NA,patchwork,0
Casual,Low,0.0,L,Winter,o-neck,sleevless,empire,polyster,NA,NA,leopard,0
cute,low,5.0,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,0
Brief,Average,43.0,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,1
Sexy,low,44.0,free,Automn,o-neck,full,empire,cotton,NA,NA,leopard,0
cute,low,0.0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,0
Sexy,low,47.0,M,Winter,slash-neck,sleevless,NA,nylon,NA,sashes,solid,1
Casual,low,47.0,free,Spring,o-neck,sleevless,empire,cotton,chiffon,NA,floral,0
Casual,Medium,48.0,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,0
Sexy,low,43.0,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,1
bohemian,Average,0.0,L,Winter,turndowncollor,full,natural,mix,NA,NA,solid,0
Casual,Low,0.0,free,,o-neck,full,natural,cotton,NA,NA,patchwork,0
cute,Medium,48.0,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
Sexy,Average,0.0,S,Automn,v-neck,sleevless,empire,cotton,NA,beading,solid,0
Casual,Low,46.0,S,Spring,o-neck,full,natural,cotton,NA,NA,solid,1
vintage,Medium,47.0,free,Spring,turndowncollor,sleevless,natural,mix,NA,lace,solid,1
work,low,47.0,free,Summer,o-neck,full,empire,cotton,NA,NA,solid,0
cute,Average,48.0,M,Summer,o-neck,short,natural,cotton,NA,rivet,solid,0
cute,Average,0.0,M,Summer,o-neck,short,natural,cotton,chiffon,NA,print,0
Casual,Average,47.0,M,winter,o-neck,full,NA,NA,NA,NA,animal,0
Casual,low,46.0,free,winter,o-neck,full,natural,polyster,NA,applique,solid,1
party,Average,5.0,free,Summer,v-neck,sleevless,NA,NA,NA,NA,NA,0
Casual,Average,0.0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,NA,patchwork,0
Sexy,Average,48.0,free,Winter,o-neck,sleevless,natural,polyster,NA,embroidary,solid,0
Casual,Average,47.0,S,Summer,v-neck,short,natural,cotton,NA,NA,dot,0
Casual,Average,41.0,M,Automn,v-neck,full,NA,NA,chiffon,sashes,NA,1
Casual,Average,5.0,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,NA,NA,0
Sexy,Average,5.0,M,Summer,v-neck,sleevless,empire,cotton,NA,sequined,solid,1
work,Average,46.0,L,Summer,slash-neck,short,natural,cotton,NA,NA,solid,0
Casual,Average,45.0,M,Summer,peterpan-collor,sleevless,NA,NA,NA,NA,NA,0
Casual,Average,0.0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,NA,solid,1
cute,Average,47.0,L,Summer,o-neck,sleevless,natural,cotton,worsted,NA,print,0
bohemian,Low,47.0,free,Winter,o-neck,short,natural,nylon,NA,sashes,print,0
Casual,low,5.0,free,Spring,slash-neck,sleevless,empire,spandex,NA,NA,striped,1
Casual,Average,5.0,M,Winter,o-neck,sleevless,natural,NA,chiffon,sashes,solid,1
Casual,Average,43.0,free,Summer,o-neck,sleevless,natural,cotton,worsted,NA,striped,0
work,low,45.0,M,Winter,v-neck,threequarter,NA,NA,NA,NA,patchwork,0
Casual,Average,43.0,S,Spring,boat-neck,full,natural,cotton,NA,lace,patchwork,1
Casual,Average,44.0,L,Automn,o-neck,halfsleeve,natural,NA,dobby,lace,animal,0
sexy,Low,43.0,M,Automn,open,short,natural,lace,NA,lace,print,0
Casual,Low,46.0,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,1
Casual,low,46.0,L,Winter,o-neck,full,NA,cotton,NA,NA,NA,0
Casual,Average,46.0,M,Spring,o-neck,sleevless,natural,NA,chiffon,sashes,solid,1
Casual,low,0.0,free,Automn,peterpan-collor,threequarter,empire,NA,NA,NA,NA,0
Casual,Average,47.0,S,Spring,o-neck,halfsleeve,empire,NA,chiffon,NA,NA,1
Casual,Average,0.0,S,Summer,o-neck,sleevless,empire,cotton,NA,NA,solid,0
Casual,low,48.0,free,Summer,o-neck,sleevless,natural,cotton,NA,NA,print,1
Casual,Average,5.0,S,Winter,o-neck,sleevless,empire,polyster,chiffon,NA,plaid,0
Sexy,very-high,0.0,free,Winter,v-neck,sleevless,natural,polyster,knitting,NA,solid,0
Casual,low,44.0,free,Summer,o-neck,sleevless,natural,polyster,NA,sashes,print,0
Casual,Average,5.0,free,Summer,v-neck,sleevless,NA,modal,NA,NA,patchwork,0
Sexy,low,48.0,M,Automn,v-neck,full,natural,cotton,NA,NA,print,1
Casual,Average,46.0,free,Winter,v-neck,full,natural,cotton,flannel,NA,striped,0
Casual,Average,46.0,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,NA,NA,0
Casual,low,5.0,S,Spring,o-neck,sleevless,natural,chiffonfabric,NA,NA,print,0
cute,Average,0.0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,0
Casual,low,48.0,free,Spring,o-neck,sleevless,NA,chiffonfabric,chiffon,NA,print,1
Casual,Average,46.0,M,Automn,o-neck,short,empire,polyster,NA,applique,dot,0
Casual,Low,49.0,free,winter,o-neck,sleevless,empire,silk,NA,sashes,print,1
Casual,Average,47.0,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,0
Casual,Medium,46.0,M,winter,o-neck,full,natural,cashmere,NA,NA,solid,1
Casual,Average,47.0,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,0
Sexy,Average,47.0,M,winter,v-neck,sleevless,natural,polyster,broadcloth,NA,patchwork,0
Casual,Average,35.0,M,winter,v-neck,short,natural,NA,NA,NA,solid,0
Casual,Average,48.0,M,winter,o-neck,threequarter,natural,NA,NA,NA,print,1
Casual,Average,0.0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,1
Casual,low,46.0,M,Summer,o-neck,sleevless,natural,cotton,NA,sashes,striped,0
Casual,Average,47.0,L,Spring,v-neck,halfsleeve,natural,NA,broadcloth,NA,print,1
Casual,low,45.0,free,Summer,o-neck,full,natural,cotton,NA,button,solid,0
Casual,Average,47.0,M,Summer,o-neck,sleevless,natural,polyster,NA,NA,character,0
