Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,PatternType,Recommendation
Casual,low,45.0,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,NA,solid,0
Casual,low,47.0,S,summer,o-neck,full,natural,cotton,NA,NA,patchwork,0
cute,Low,0.0,free,Summer,boat-neck,sleevless,NA,cotton,NA,NA,print,0
Casual,Average,49.0,M,Automn,v-neck,sleevless,NA,polyster,NA,NA,NA,1
party,very-high,0.0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,NA,0
party,very-high,0.0,M,Winter,v-neck,cap-sleeves,NA,NA,chiffon,lace,NA,0
Casual,Low,44.0,M,Winter,v-neck,turndowncollor,NA,cotton,NA,NA,NA,1
party,very-high,0.0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,NA,1
party,high,0.0,M,Winter,Sweetheart,sleevless,natural,NA,NA,pearls,NA,0
party,Average,5.0,M,Winter,o-neck,capsleeves,empire,polyster,NA,lace,NA,1
party,high,47.0,M,Winter,sweetheart,sleeveless,natural,NA,chiffon,flowers,NA,0
party,,48.0,free,Winter,o-neck,sleevless,empire,NA,NA,embroidary,NA,1
party,,45.0,L,Summer,,full,,,,,,1
party,very-high,49.0,M,Spring,Sweetheart,sleeevless,empire,NA,chiffon,beading,NA,1
party,high,46.0,M,winter,Sweetheart,sleevless,natural,NA,chiffon,NA,NA,0
party,Average,5.0,M,Spring,Sweetheart,sleevless,natural,polyster,NA,NA,NA,1
party,very-high,48.0,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,NA,1
party,very-high,0.0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,NA,1
party,high,46.0,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,NA,0
party,Average,48.0,L,,Sweetheart,sleevless,empire,NA,NA,pleat,NA,1
party,Medium,46.0,S,Winter,Scoop,short,empire,NA,NA,crystal,NA,0
party,very-high,49.0,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,NA,1
party,Medium,48.0,S,Spring,v-neck,sleevless,empire,NA,NA,NA,NA,1
party,very-high,42.0,L,Winter,v-neck,sleevless,NA,NA,NA,lace,NA,1
Casual,Low,44.0,free,Summer,o-neck,sleevless,NA,NA,NA,NA,NA,1
party,very-high,41.0,M,Winter,Scoop,short,natural,cotton,lace,applique,NA,1
Casual,high,46.0,M,Summer,Sweetheart,sleevless,empire,NA,NA,beading,NA,1
party,Average,47.0,free,Winter,o-neck,sleevless,NA,polyster,NA,NA,NA,0
party,very-high,45.0,M,Spring,v-neck,cap-sleeves,NA,NA,NA,lace,NA,1
party,Average,47.0,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,1
party,Medium,47.0,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,NA,1
cute,Average,44.0,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,1
party,Average,5.0,M,Spring,o-neck,sleevless,NA,NA,NA,NA,NA,1
party,very-high,48.0,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,NA,1
party,Medium,48.0,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,NA,1
party,very-high,49.0,L,Spring,slash-neck,sleevless,NA,NA,chiffon,flowers,NA,1
party,Medium,0.0,free,Winter,v-neck,short,empire,NA,chiffon,lace,NA,1
work,Average,5.0,free,Winter,o-neck,half,NA,microfiber,NA,NA,NA,0
party,very-high,49.0,M,Spring,v-neck,sleevless,empire,NA,sattin,beading,NA,1
Casual,high,5.0,free,Summer,v-neck,sleevless,natural,nylon,NA,NA,NA,1
Casual,very-high,0.0,small,Spring,o-neck,full,NA,NA,chiffon,applique,NA,0
Casual,Medium,47.0,M,Spring,o-neck,sleevless,natural,cotton,NA,bow,NA,1
Casual,Average,44.0,free,Summer,slash-neck,sleevless,empire,cotton,NA,NA,NA,1
Casual,very-high,46.0,M,winter,o-neck,short,natural,NA,NA,flowers,NA,1
Casual,Low,44.0,free,winter,halter,sleevless,natural,NA,NA,draped,NA,1
party,high,45.0,M,winter,o-neck,sleevless,NA,NA,NA,NA,NA,1
Casual,Average,48.0,free,Summer,o-neck,sleevless,natural,NA,NA,NA,NA,0
Sexy,Average,5.0,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,NA,0
vintage,Average,49.0,free,Summer,o-neck,urndowncollor,empire,NA,NA,NA,NA,0
vintage,Average,47.0,S,Summer,turndowncollor,short,empire,cotton,NA,NA,NA,0
work,Average,49.0,M,Summer,sqare-collor,halfsleeve,empire,polyster,sattin,sashes,NA,0
Casual,low,47.0,L,Spring,o-neck,short,natural,chiffonfabric,chiffon,NA,NA,0
Casual,Average,48.0,L,Automn,o-neck,short,natural,cashmere,NA,NA,NA,0
Sexy,low,47.0,free,Spring,v-neck,sleeveless,NA,NA,NA,sequined,NA,1
Casual,Average,0.0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,NA,NA,0
Casual,Average,42.0,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork,0
Novelty,Average,0.0,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,0
Casual,Average,37.0,M,Summer,boat-neck,sleevless,natural,linen,NA,NA,NA,0
Casual,Average,5.0,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,NA,1
Sexy,low,5.0,free,Spring,v-neck,sleevless,empire,NA,chiffon,NA,NA,0
cute,Low,0.0,free,Winter,o-neck,sleevless,natural,NA,chiffon,NA,NA,0
vintage,Average,48.0,M,Summer,v-neck,full,natural,rayon,poplin,NA,NA,1
bohemian,Average,48.0,L,Winter,o-neck,sleevless,natural,polyster,chiffon,NA,solid,0
bohemian,Average,0.0,free,Spring,o-neck,sleevless,natural,rayon,chiffon,NA,striped,1
Sexy,Average,45.0,M,Summer,bowneck,sleevless,NA,cotton,chiffon,NA,solid,0
Novelty,Medium,42.0,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal,1
Casual,Low,5.0,free,Spring,v-neck,full,natural,cotton,NA,NA,solid,1
Casual,Average,5.0,L,Winter,o-neck,thressqatar,natural,polyster,NA,applique,solid,0
Casual,Low,48.0,M,Winter,v-neck,sleevless,natural,polyster,NA,NA,print,0
bohemian,Low,5.0,free,Spring,o-neck,short,natural,nylon,jersey,sashes,print,1
Casual,low,5.0,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print,0
Casual,Low,5.0,M,Spring,o-neck,sleeevless,natural,chiffonfabric,chiffon,NA,solid,1
cute,Average,43.0,M,Summer,NULL,NULL,natural,cotton,chiffon,NA,solid,0
Novelty,Average,0.0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,NA,1
cute,low,0.0,L,Spring,o-neck,sleevless,empire,NA,NA,NA,NA,1
Sexy,Low,48.0,free,Spring,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,0
Sexy,Low,48.0,free,Summer,slash-neck,sleevless,empire,silk,NA,lace,solid,0
Casual,Low,44.0,M,Winter,o-neck,sleevless,natural,polyster,NA,NA,solid,0
Casual,Average,45.0,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped,0
Casual,Low,47.0,S,Summer,o-neck,full,natural,cotton,NA,NA,patchwork,0
Casual,low,44.0,free,Spring,o-neck,sleevless,natural,polyster,NA,sashes,print,0
work,Average,49.0,M,Winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid,0
cute,Medium,46.0,free,Spring,o-neck,short,natural,chiffonfabric,NA,hollowout,solid,1
Casual,Low,47.0,free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print,0
Casual,Average,48.0,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print,0
Sexy,Low,48.0,L,Summer,o-neck,sleevless,natural,cotton,NA,NA,solid,1
Casual,Average,43.0,M,Spring,o-neck,halfsleeve,NA,NA,NA,NA,NA,1
Casual,Average,47.0,XL,winter,v-neck,short,empire,milksilk,NA,NA,print,0
Casual,Low,0.0,L,winter,v-neck,full,NA,NA,NA,NA,solid,0
Sexy,Average,47.0,M,Automn,slash-neck,sleevless,natural,nylon,NA,rivet,solid,0
Casual,Low,47.0,free,winter,o-neck,sleevless,natural,NA,NA,NA,NA,1
Casual,high,0.0,L,winter,v-neck,full,NA,polyster,NA,NA,solid,0
Casual,Low,47.0,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,patchwork,0
Casual,Average,0.0,free,Winter,v-neck,full,NA,cashmere,NA,NA,solid,1
Casual,Average,47.0,M,Summer,o-neck,thressqatar,NA,chiffonfabric,chiffon,ruched,solid,0
Sexy,low,45.0,free,Summer,slash-neck,sleevless,NA,polyster,Corduroy,NA,NA,0
vintage,low,4.0,free,Summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid,0
bohemian,low,5.0,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,tassel,print,1
Casual,low,47.0,S,Winter,o-neck,sleeevless,natural,knitting,NA,lace,solid,0
Sexy,Average,45.0,S,Winter,v-neck,sleevless,NA,polyster,NA,NA,NA,0
cute,Average,47.0,M,Summer,o-neck,sleevless,natural,chiffonfabric,NA,sashes,splice,0
vintage,Low,0.0,free,Summer,o-neck,sleevless,natural,cotton,batik,NA,print,1
Casual,Average,41.0,L,winter,o-neck,sleevless,natural,polyster,NA,NA,NA,1
Casual,Average,42.0,M,winter,v-neck,full,empire,polyster,NA,lace,patchwork,1
Brief,Average,48.0,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,NA,solid,0
Brief,Average,49.0,free,Winter,o-neck,sleevless,natural,NA,NA,NA,solid,0
Sexy,Average,48.0,S,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid,0
Casual,Average,47.0,L,Winter,o-neck,sleevless,natural,polyster,chiffon,NA,patchwork,0
vintage,Average,47.0,M,Summer,v-neck,short,natural,rayon,NA,beading,print,0
Casual,Average,48.0,free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,0
Sexy,Low,47.0,M,Winter,v-neck,sleevless,natural,polyster,NA,NA,striped,0
Casual,Average,5.0,s,Spring,turndowncollor,full,empire,cotton,worsted,NA,solid,0
Casual,Low,1.0,M,Spring,o-neck,halfsleeve,NA,NA,chiffon,NA,NA,0
Sexy,Average,41.0,free,Summer,v-neck,sleevless,natural,cotton,NA,lace,NA,1
Casual,Low,4.0,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print,0
cute,Average,46.0,free,Spring,v-neck,full,natural,cotton,chiffon,NA,solid,1
Casual,Low,5.0,M,Spring,o-neck,sleevless,natural,spandex,jersey,NA,print,0
Casual,Average,47.0,M,Automn,v-neck,sleevless,natural,NA,chiffon,NA,striped,1
Casual,low,46.0,free,winter,o-neck,full,natural,polyster,NA,applique,solid,0
Casual,Average,45.0,L,Summer,o-neck,short,natural,cotton,jersey,pockets,solid,0
cute,Average,46.0,M,Automn,o-neck,thressqatar,natural,silk,chiffon,sashes,print,0
Casual,Low,46.0,free,Automn,o-neck,halfsleeve,natural,chiffonfabric,chiffon,NA,leapord,1
Casual,Low,47.0,L,Summer,NULL,sleevless,NA,cotton,NA,NA,solid,1
Sexy,Low,0.0,L,Summer,o-neck,sleevless,empire,sill,NA,NA,striped,0
bohemian,Average,4.0,free,Winter,o-neck,sleevless,natural,polyster,chiffon,ruffles,striped,0
Casual,low,47.0,free,Summer,o-neck,full,natural,cotton,NA,NA,solid,1
bohemian,Average,41.0,free,Summer,o-neck,thressqatar,NA,NA,NA,hollowout,NA,0
Brief,Low,46.0,M,Summer,o-neck,short,natural,cotton,NA,NA,animal,0
cute,Low,0.0,free,Spring,v-neck,sleevless,empire,chiffonfabric,chiffon,NA,NA,1
Casual,Average,5.0,M,Spring,o-neck,thressqatar,NA,spandex,NA,NA,NA,0
Casual,Low,5.0,free,winter,o-neck,full,natural,wool,NA,applique,solid,0
vintage,Average,45.0,L,winter,o-neck,short,empire,NA,NA,sequined,patchwork,1
Casual,Average,45.0,free,Summer,o-neck,short,natural,polyster,NA,NA,solid,0
bohemian,Low,44.0,L,Summer,bowneck,short,natural,cotton,NA,NA,dot,0
Casual,Average,48.0,free,winter,o-neck,sleevless,NA,polyster,NA,sashes,solid,0
Brief,Low,47.0,M,Winter,o-neck,full,natural,cotton,NA,NA,patchwork,0
Casual,Medium,0.0,free,Winter,bowneck,full,NA,cashmere,knitted,NA,solid,1
Casual,Average,47.0,M,Winter,o-neck,short,empire,polyster,shiffon,NA,animal,0
party,Average,0.0,M,Summer,o-neck,full,natural,cotton,NA,NA,patchwork,1
Casual,Average,3.0,M,Spring,turndowncollor,short,empire,polyster,NA,sashes,patchwork,0
Casual,low,47.0,L,Automn,o-neck,short,natural,polyster,shiffon,NA,patchwork,1
Casual,Average,43.0,M,Automn,o-neck,sleevless,natural,polyster,NA,plain,solid,0
Casual,Average,0.0,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,solid,1
Casual,Low,5.0,free,Summer,o-neck,sleevless,natural,model,jersey,plain,solid,1
Casual,Low,47.0,free,winter,o-neck,sleevless,natural,milksilk,NA,NA,animal,0
vintage,Average,5.0,M,Summer,v-neck,thressqatar,natural,polyster,NA,NA,print,0
Casual,Low,47.0,L,Summer,o-neck,full,natural,mix,worsted,lace,patchwork,1
bohemian,Average,46.0,M,Spring,o-neck,sleevless,natural,shiffon,shiffon,sashes,solid,0
bohemian,Low,46.0,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,0
party,very-high,46.0,free,Summer,o-neck,sleevless,empire,rayon,NA,hollowout,solid,0
cute,Low,48.0,M,Spring,o-neck,short,natural,shiffon,shiffon,bow,dot,1
vintage,Average,0.0,M,Spring,o-neck,halfsleeve,empire,polyster,NA,lace,animal,0
Casual,Medium,49.0,L,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,0
Casual,Average,42.0,free,Summer,o-neck,sleevless,natural,cotton,worsted,NA,striped,1
Casual,Average,49.0,M,Summer,o-neck,short,dropped,cotton,NA,ruffles,patchwork,0
bohemian,Low,5.0,XL,Spring,v-neck,thressqatar,natural,NA,shiffon,NA,print,1
Casual,Average,47.0,M,Summer,o-neck,sleevless,NA,cotton,NA,NA,dot,0
Casual,Average,0.0,free,Summer,o-neck,sleevless,natural,cotton,NA,lace,floral,0
Sexy,Medium,0.0,free,winter,o-neck,sleevless,natural,polyster,NA,sequined,solid,0
Sexy,low,44.0,free,Automn,v-neck,sleevless,natural,cotton,worsted,lace,solid,0
Brief,Average,49.0,XL,Spring,slash-neck,full,natural,NA,NA,sashes,solid,0
Casual,Average,47.0,XL,Summer,v-neck,halfsleeve,natural,NA,broadcloth,NA,print,1
Casual,Average,0.0,free,Automn,v-neck,full,natural,cotton,NA,lace,solid,0
Casual,Average,48.0,M,Summer,v-neck,full,natural,NA,shiffon,NA,NA,0
party,Average,47.0,M,Spring,o-neck,halfsleeve,empire,NA,shiffon,NA,patchwork,0
Sexy,low,44.0,free,Summer,bowneck,sleevless,natural,viscos,NA,bow,solid,0
bohemian,Low,46.0,free,winter,o-neck,sleevless,empire,polyster,NA,NA,patchwork,1
Casual,Low,46.0,free,Autumn,o-neck,full,natural,rayon,NA,lace,solid,1
Sexy,Low,45.0,free,Summer,o-neck,sleevless,empire,cotton,NA,sashes,solid,1
Sexy,Low,0.0,free,winter,v-neck,NULL,dropped,cotton,NA,lace,NA,1
Casual,Average,0.0,XL,Spring,bowneck,sleevless,natural,mix,NA,lace,solid,0
Sexy,Average,0.0,free,Autumn,o-neck,full,natural,polyster,sattin,hollowout,solid,0
Sexy,Low,48.0,free,Spring,v-neck,sleevless,natural,NA,NA,NA,striped,1
Brief,Low,47.0,free,Autumn,o-neck,sleevless,natural,NA,shiffon,sequined,solid,0
Sexy,high,5.0,M,Summer,v-neck,sleevless,natural,mix,NA,NA,striped,0
Casual,Average,46.0,L,Summer,bowneck,full,dropped,cotton,NA,NA,patchwork,0
cute,Medium,49.0,S,Summer,bowneck,sleevless,empire,NA,NA,bow,patchwork,1
Novelty,Average,49.0,M,Autumn,o-neck,short,natural,polyster,chiffon,none,print,0
Casual,Low,43.0,free,Spring,o-neck,full,NA,NA,chiffon,sashes,none,1
Casual,Low,47.0,S,Autumn,o-neck,sleevless,natural,cotton,NA,NA,solid,0
Casual,Average,48.0,L,Autumn,boat-neck,sleevless,natural,NA,NA,sashes,solid,0
cute,Average,45.0,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid,1
Casual,Average,44.0,free,Summer,o-neck,capsleeves,natural,cotton,NA,NA,solid,0
party,Average,0.0,M,Spring,o-neck,sleevless,NA,NA,chiffon,NA,solid,1
Sexy,Low,0.0,free,Summer,v-neck,sleevless,dropped,NA,NA,NA,NA,1
Casual,Low,48.0,L,Summer,v-neck,thressqatar,natural,cotton,NA,NA,print,0
work,Average,5.0,M,Summer,o-neck,sleveless,natural,NA,NA,NA,solid,1
Novelty,Average,5.0,free,Summer,o-neck,sleeveless,natural,NA,NA,NA,print,0
Casual,Low,46.0,free,Spring,v-neck,sleevless,natural,silk,chiffon,draped,solid,0
Casual,Average,45.0,M,Summer,o-neck,full,natural,cotton,NA,lace,solid,0
Casual,Average,45.0,L,Spring,boat-neck,thressqatar,natural,NA,dobby,lace,animal,1
Casual,Average,45.0,free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid,1
cute,Low,0.0,M,Summer,boat-neck,short,NA,NA,chiffon,sashes,NA,0
party,Average,49.0,M,winter,o-neck,halfsleeve,NA,cotton,NA,lace,NA,1
Casual,Average,48.0,M,Summer,o-neck,halfsleeve,NA,NA,NA,NA,NA,0
Casual,Low,44.0,L,Summer,o-neck,sleevless,natural,cotton,chiffon,NA,solid,0
Casual,Average,43.0,M,winter,slash-neck,sleeveless,natural,polyster,NA,sashes,solid,0
cute,Average,47.0,L,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid,0
Sexy,Average,0.0,S,Summer,v-neck,sleevless,NA,NA,NA,NA,NA,1
Casual,Low,44.0,free,Summer,o-neck,sleevless,NA,NA,NA,NA,animal,0
cute,high,43.0,M,Spring,boat-neck,full,natural,polyster,terry,lace,solid,1
work,Average,48.0,M,winter,turndowncollor,full,natural,NA,NA,NA,solid,0
Casual,Average,46.0,M,Spring,o-neck,halfsleeve,natural,polyster,NA,lace,solid,0
Sexy,Low,0.0,free,Summer,v-neck,sleevless,empire,cotton,NA,NA,solid,0
Casual,high,49.0,XL,winter,v-neck,full,empire,cotton,NA,sequined,solid,0
Sexy,Low,0.0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,solid,0
cute,Average,5.0,M,Autumn,v-neck,sleevless,natural,cotton,NA,NA,solid,0
cute,Low,0.0,free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork,1
Casual,Low,44.0,free,Summer,o-neck,full,natural,cotton,NA,pockets,solid,0
Casual,Average,0.0,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,solid,0
cute,Average,47.0,M,Spring,o-neck,full,natural,rayon,chiffon,beading,solid,1
Casual,Average,46.0,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid,1
Casual,Low,44.0,free,Summer,o-neck,full,natural,cotton,NA,NA,solid,1
Casual,Low,5.0,M,Automn,o-neck,sleevless,empire,NA,chiffon,NA,print,1
Casual,Average,0.0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid,0
Sexy,Average,0.0,free,winter,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
Casual,Low,44.0,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid,0
cute,Average,0.0,L,Summer,o-neck,sleevless,empire,cotton,NA,lace,solid,1
Casual,Low,48.0,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid,0
cute,Average,46.0,M,Spring,o-neck,halfsleeve,natural,acrylic,chiffon,NA,NA,0
bohemian,Low,46.0,free,Summer,o-neck,sleevless,natural,cotton,chiffon,none,solid,1
Brief,Average,47.0,M,winter,o-neck,halfsleeve,natural,acrylic,chiffon,NA,striped,0
Casual,Low,47.0,M,Spring,o-neck,full,natural,polyster,NA,NA,solid,1
Casual,Average,46.0,L,winter,boat-neck,sleevless,empire,silk,broadcloth,applique,print,1
Casual,Low,44.0,free,Summer,v-neck,short,empire,cotton,Corduroy,lace,solid,0
